name,type,lat,lon
LES COLOMBES de VENISE,school,14.5355164,-4.094989
LES FLAMBOYANTS [1er C],school,14.5355294,-4.0950379
LES FLAMBOYANTS [2ème C],school,14.535504,-4.0950393
LES MAINS UNIES,school,14.5354716,-4.0950413
Dar-Taouhid Garalo,school,10.9981131,-7.4346883
ISLAMIYA ZAHARIAT de GARALO,school,10.9910077,-7.4282859
MEDERSA AL NABIB de GARALO,school,10.9982899,-7.4348727
BAMBA,school,14.5852875,-3.0803644
BAMBA II,school,14.58507,-3.08051
BANAI,school,14.61,-1.866
BANGADIE,school,14.58,-2.106
BANGUEL TOUPE,school,14.66,-3.658
BERDOSSOU,school,14.73,-3.058
BERDOUSSOU II,school,14.7364134,-3.0517422
BINE,school,14.57,-3.366
BINE TELLY,school,14.64835,-3.14315
DANI [1er C]YCLE,school,14.67,-3.408
DANTIANDE,school,14.72,-3.368
DIANGA,school,14.687743,-3.097162
DIANGADA,school,14.7,-3.176
DOUARI,school,14.53,-2.307
DOUNA,school,14.645241,-1.7375066
DOUROU,school,14.7459925,-3.128993
École de IREBANE,school,14.62236,-3.18971
ENDEM,school,14.50222,-2.98912
GONDOGOUROU,school,14.56857,-2.89948
GONGO-NA,school,14.53,-3.444
GOUNDOLY DOGON,school,14.61,-3.355
IRGUILY [2ème C],school,14.64,-3.607
IRIGUILY,school,14.64,-3.607
KANI-GOGOUNA [1er C],school,14.5619276,-3.3959705
KANI-GOGOUNA [2ème C],school,14.5620885,-3.3959491
KAOULI,school,14.62253,-3.18988
KASSA (Sâou) [1er C],school,14.7408649,-3.0574854
KASSA (Sâou) [2ème C],school,14.7408091,-3.0574841
KASSANWAN,school,14.51,-2.131
KEDOU,school,14.67,-3.269
KENDE,school,14.700073,-3.4178921
KENDE [2ème C],school,14.700073,-3.4178921
KENDIE [1er C],school,14.67,-3.51
KENDIE [2ème C],school,14.67,-3.51
KENTABA-LEYE,school,14.61,-3.499
KOBA,school,14.55232,-2.39878
KOMONI - NEMA,school,14.57,-3.508
KOUNDIALA,school,14.521615,-3.5683102
KOUNDIANGA,school,14.6511863,-3.0871016
MARIFATOU DINOU ISLAM,school,14.71,-3.255
MED DIAMAR de OUROLY,school,14.5600221,-3.3479987
MEDERSA de BANAKANE,school,14.64,-3.227
MEDERSA de KENDIE,school,14.67,-3.51
MEDERSA de KOMINIDÔ,school,14.675546,-3.274725
MEDERSA GUINEKANDA,school,14.65,-3.213
MENE-MENE,school,14.53,-3.465
MONDORO [1er C],school,14.67,-1.948
MONDORO [2ème C],school,14.67,-1.948
NALOU [1er C],school,14.7456092,-3.2341559
NANGALADOUMBO,school,14.66,-3.277
NOMBO,school,14.74,-3.489
OGOBO,school,14.61,-3.481
OGOL-PEPE,school,14.64019,-3.1670268
ONDOUGOU [2ème C],school,14.64,-3.228
ONDOUGOU [1er C],school,14.64,-3.228
ONE,school,14.57,-3.388
ONGO,school,14.64,-3.164
OUROLY [2ème C],school,14.56,-3.348
PELINGA,school,14.7410839,-3.0860019
PELLENI,school,14.61,-3.554
PIRON,school,14.59,-3.841
SADEGUE,school,14.74,-3.138
SAL-OGOL,school,14.5999779,-3.305
SISSONGO,school,14.67,-3.725
SOGODOUGOU,school,14.6200005,-3.5389819
SOL,school,14.62,-3.285
SOROLY [1er C],school,14.5200287,-3.518598
SOROLY [2ème C],school,14.5200008,-3.5186027
TAKOUTI,school,14.56,-4.08
TAN-COULLE,school,14.7152,-3.01238
